import time: self [us] | cumulative | imported package
import time:       482 |        482 |                       asyncio.futures
import time:       185 |        185 |                       asyncio.protocols
import time:       235 |        235 |                         asyncio.transports
import time:        93 |         93 |                         asyncio.log
import time:      1880 |       2208 |                       asyncio.sslproto
import time:       444 |        444 |                           asyncio.mixins
import time:       363 |        807 |                         asyncio.locks
import time:       210 |        210 |                           asyncio.queues
import time:       447 |        447 |                           asyncio.timeouts
import time:       392 |       1048 |                         asyncio.tasks
import time:       170 |       2024 |                       asyncio.staggered
import time:       137 |        137 |                       asyncio.trsock
import time:      4210 |      27582 |                     asyncio.base_events
import time:       213 |        213 |                     asyncio.runners
import time:      1310 |       1310 |                     asyncio.streams
import time:       504 |        504 |                     asyncio.subprocess
import time:       135 |        135 |                     asyncio.taskgroups
import time:        87 |         87 |                     asyncio.threads
import time:       470 |        470 |                       asyncio.base_subprocess
import time:       382 |        382 |                       asyncio.selector_events
import time:       846 |       1697 |                     asyncio.unix_events
import time:       731 |      32257 |                   asyncio
import time:   1173579 |    1173579 |                       streamlit.components
import time:   2507409 |    3680988 |                     streamlit.components.lib
import time:   1916398 |    1916398 |                       streamlit.components.types
import time:      2064 |    1918461 |                     streamlit.components.types.base_component_registry
import time:   1920330 |    7519777 |                   streamlit.components.lib.local_component_registry
import time:      4406 |       4406 |                       streamlit.deprecation_util
import time:       820 |        820 |                           streamlit.path_security
import time:      1012 |       1831 |                         streamlit.components.v2.component_path_utils
import time:      4706 |       4706 |                         streamlit.components.v2.component_registry
import time:      1085 |       7621 |                       streamlit.components.v2.component_definition_resolver
import time:       594 |        594 |                       streamlit.components.v2.get_bidi_component_manager
import time:      1375 |      13995 |                     streamlit.components.v2
import time:      1951 |       1951 |                     streamlit.components.v2.component_file_watcher
import time:     15076 |      15076 |                     streamlit.components.v2.component_manifest_handler
import time:      2660 |      33681 |                   streamlit.components.v2.component_manager
import time:       639 |        639 |                     streamlit.proto.AutoRerun_pb2
import time:       525 |        525 |                         streamlit.proto.GapSize_pb2
import time:      1508 |       2032 |                       streamlit.proto.Block_pb2
import time:       527 |        527 |                       streamlit.proto.Transient_pb2
import time:       632 |       3191 |                     streamlit.proto.Delta_pb2
import time:       390 |        390 |                     streamlit.proto.GitInfo_pb2
import time:       786 |        786 |                     streamlit.proto.Logo_pb2
import time:       176 |        176 |                       streamlit.proto.AppPage_pb2
import time:       205 |        381 |                     streamlit.proto.Navigation_pb2
import time:       492 |        492 |                       streamlit.proto.SessionStatus_pb2
import time:      1149 |       1641 |                     streamlit.proto.NewSession_pb2
import time:       554 |        554 |                     streamlit.proto.PageConfig_pb2
import time:       699 |        699 |                     streamlit.proto.PageInfo_pb2
import time:       550 |        550 |                     streamlit.proto.PageProfile_pb2
import time:       268 |        268 |                     streamlit.proto.PageNotFound_pb2
import time:       375 |        375 |                     streamlit.proto.PagesChanged_pb2
import time:       313 |        313 |                     streamlit.proto.ParentMessage_pb2
import time:       309 |        309 |                     streamlit.proto.SessionEvent_pb2
import time:       368 |        368 |                     streamlit.proto.AuthRedirect_pb2
import time:      1489 |      11945 |                   streamlit.proto.ForwardMsg_pb2
import time:      3012 |       3012 |                       _uuid
import time:      2304 |       5316 |                     uuid
import time:      1497 |       1497 |                     google.protobuf.json_format
import time:      1680 |       1680 |                       streamlit.elements.lib.layout_utils
import time:       446 |        446 |                           streamlit.runtime.scriptrunner_utils
import time:       351 |        351 |                             streamlit.proto.WidgetStates_pb2
import time:      1807 |       2157 |                           streamlit.runtime.scriptrunner_utils.script_requests
import time:       504 |       3106 |                         streamlit.runtime.scriptrunner_utils.exceptions
import time:       370 |        370 |                           streamlit.runtime.forward_msg_cache
import time:      1907 |       2277 |                         streamlit.runtime.scriptrunner_utils.script_run_context
import time:       818 |       6200 |                       streamlit.runtime.metrics_util
import time:       801 |       8680 |                     streamlit.elements.exception
import time:       518 |        518 |                     streamlit.proto.ClientState_pb2
import time:      2978 |       2978 |                         typing_extensions
import time:       400 |        400 |                           streamlit.type_util
import time:       201 |        201 |                           streamlit.runtime.caching.cache_type
import time:       355 |        956 |                         streamlit.runtime.caching.cache_errors
import time:      1065 |       1065 |                           streamlit.dataframe_util
import time:      2484 |       2484 |                           streamlit.runtime.caching.cached_message_replay
import time:   1588142 |    1588142 |                               streamlit.runtime.stats
import time:      1042 |    1589184 |                             streamlit.runtime.uploaded_file_manager
import time:       792 |    1589976 |                           streamlit.runtime.caching.hashing
import time:      1187 |    1594711 |                         streamlit.runtime.caching.cache_utils
import time:   2528796 |    2528796 |                           streamlit.runtime.caching.storage.cache_storage_protocol
import time:   1859989 |    4388785 |                         streamlit.runtime.caching.storage
import time:   1873425 |    1873425 |                               cachetools.keys
import time:   2546706 |    4420131 |                             cachetools
import time:   1732981 |    6153111 |                           streamlit.runtime.caching.storage.in_memory_cache_storage_wrapper
import time:   1827184 |    7980294 |                         streamlit.runtime.caching.storage.dummy_cache_storage
import time:   1903363 |    1903363 |                         streamlit.time_util
import time:      1965 |   15873048 |                       streamlit.runtime.caching.cache_data_api
import time:   1707955 |    1707955 |                         streamlit.runtime.caching.ttl_cleanup_cache
import time:   2174756 |    3882711 |                       streamlit.runtime.caching.cache_resource_api
import time:   2270653 |    2270653 |                       streamlit.runtime.caching.legacy_cache_api
import time:       928 |   22027338 |                     streamlit.runtime.caching
import time:   1721487 |    1721487 |                     streamlit.runtime.forward_msg_queue
import time:   1760560 |    1760560 |                       streamlit.error_util
import time:   1790797 |    3551357 |                     streamlit.runtime.fragment
import time:   1599917 |    1599917 |                     streamlit.runtime.pages_manager
import time:       316 |        316 |                         gc
import time:      1725 |       1725 |                         timeit
import time:   1608485 |    1608485 |                         streamlit.runtime.scriptrunner.exec_code
import time:   1795970 |    1795970 |                           streamlit.runtime.scriptrunner.magic
import time:   1658873 |    1658873 |                           streamlit.source_util
import time:   2651491 |    6106333 |                         streamlit.runtime.scriptrunner.script_cache
import time:   1744629 |    1744629 |                           streamlit.runtime.state.common
import time:   2007385 |    2007385 |                                 streamlit.elements.lib.form_utils
import time:   1663959 |    3671344 |                               streamlit.elements.lib.utils
import time:   1879847 |    1879847 |                               streamlit.runtime.state.safe_session_state
import time:   1917394 |    1917394 |                                 streamlit.runtime.state.presentation
import time:   1867517 |    1867517 |                                 streamlit.runtime.state.query_params
import time:   2398507 |    6183417 |                               streamlit.runtime.state.session_state
import time:   1645949 |   13380555 |                             streamlit.runtime.state.session_state_proxy
import time:   1678188 |   15058742 |                           streamlit.runtime.state.query_params_proxy
import time:   1713270 |    1713270 |                           streamlit.runtime.state.widgets
import time:   1745216 |   20261857 |                         streamlit.runtime.state
import time:   1697281 |   29675994 |                       streamlit.runtime.scriptrunner.script_runner
import time:   1955079 |   31631072 |                     streamlit.runtime.scriptrunner
import time:   1909831 |    1909831 |                             streamlit.watcher.folder_black_list
import time:   4645736 |    4645736 |                             streamlit.watcher.path_watcher
import time:   3182226 |    9737793 |                           streamlit.watcher.local_sources_watcher
import time:   1778996 |   11516788 |                         streamlit.watcher
import time:       530 |   11517317 |                       streamlit.watcher.path_watcher
import time:   1968607 |   13485923 |                     streamlit.runtime.secrets
import time:   2284526 |    2284526 |                     streamlit.runtime.theme_util
import time:      2813 |   76320439 |                   streamlit.runtime.app_session
import time:   2269324 |    2269324 |                   streamlit.runtime.caching.storage.local_disk_cache_storage
import time:   3045071 |    3045071 |                     streamlit.runtime.download_data_util
import time:  12047506 |   12047506 |                     streamlit.runtime.media_file_storage
import time:   1996782 |   17089358 |                   streamlit.runtime.media_file_manager
import time:   1823236 |    1823236 |                     streamlit.runtime.session_manager
import time:   2356460 |    4179695 |                   streamlit.runtime.memory_session_storage
import time:   2182477 |    2182477 |                   streamlit.runtime.script_data
import time:   7583710 |    7583710 |                   streamlit.runtime.websocket_session_manager
import time:   2528374 |  119751033 |                 streamlit.runtime.runtime
import time:   2041968 |  121793000 |               streamlit.runtime
import time:       905 |  121793905 |             streamlit.runtime.scriptrunner_utils
import time:      1138 |  121795043 |           streamlit.runtime.scriptrunner_utils.script_run_context
import time:   2221925 |  262570213 |         streamlit.cursor
import time:   2245965 |    2245965 |             streamlit.components.v2.bidi_component.constants
import time:   2342205 |    2342205 |             streamlit.components.v2.bidi_component.serialization
import time:   2137302 |    2137302 |             streamlit.components.v2.bidi_component.state
import time:   2059905 |    2059905 |             streamlit.components.v2.presentation
import time:   2084474 |    2084474 |             streamlit.elements.lib.policies
import time:   2544844 |   13414694 |           streamlit.components.v2.bidi_component.main
import time:   1682790 |   15097483 |         streamlit.components.v2.bidi_component
import time:   2319252 |    2319252 |         streamlit.elements.alert
import time:   2412655 |    2412655 |             streamlit.elements.lib.column_types
import time:   1613409 |    1613409 |             streamlit.elements.lib.dicttools
import time:   2271924 |    6297988 |           streamlit.elements.lib.column_config_utils
import time:   2954884 |    2954884 |           streamlit.elements.lib.pandas_styler_utils
import time:   2236447 |   11489319 |         streamlit.elements.arrow
import time:   2067704 |    2067704 |         streamlit.elements.balloons
import time:   2092724 |    2092724 |         streamlit.elements.bokeh_chart
import time:   1791494 |    1791494 |         streamlit.elements.code
import time:   1861374 |    1861374 |         streamlit.elements.deck_gl_json_chart
import time:   1949832 |    1949832 |         streamlit.elements.doc_string
import time:   2275856 |    2275856 |         streamlit.elements.empty
import time:   2264520 |    2264520 |             streamlit.elements.widgets
import time:   2006283 |    2006283 |             streamlit.elements.lib.shortcut_utils
import time:   1874984 |    1874984 |               streamlit.navigation
import time:   1824230 |    3699213 |             streamlit.navigation.page
import time:   2000996 |    9971010 |           streamlit.elements.widgets.button
import time:   2009497 |   11980507 |         streamlit.elements.form
import time:   1812233 |    1812233 |         streamlit.elements.graphviz_chart
import time:   2306281 |    2306281 |         streamlit.elements.heading
import time:   1706356 |    1706356 |         streamlit.elements.html
import time:   2197175 |    2197175 |         streamlit.elements.iframe
import time:   2464089 |    2464089 |           streamlit.elements.lib.image_utils
import time:   3283803 |    5747891 |         streamlit.elements.image
import time:   1791021 |    1791021 |             streamlit.auth_util
import time:   1886199 |    3677220 |           streamlit.user_info
import time:   1869241 |    5546460 |         streamlit.elements.json
import time:   1356693 |    1356693 |         streamlit.elements.layouts
import time:   3111617 |    3111617 |         streamlit.elements.map
import time:   2736537 |    2736537 |         streamlit.elements.markdown
import time:   1911012 |    1911012 |           streamlit.elements.lib.subtitle_utils
import time:   2295917 |    4206929 |         streamlit.elements.media
import time:   2705386 |    2705386 |         streamlit.elements.metric
import time:   1931388 |    1931388 |         streamlit.elements.pdf
import time:   2040074 |    2040074 |           streamlit.elements.lib.streamlit_plotly_theme
import time:   1894115 |    1894115 |                 _plotly_utils
import time:   1895808 |    3789922 |               _plotly_utils.importers
import time:   4071624 |    7861546 |             plotly
import time:   2054808 |    9916353 |           plotly.graph_objects
import time:      4788 |       4788 |             pkgutil
import time:   4232262 |    4237050 |           plotly.io
import time:   2014188 |    2014188 |               _plotly_utils.optional_imports
import time:   2724448 |    2724448 |                         narwhals._exceptions
import time:   1885307 |    4609755 |                       narwhals.dependencies
import time:   4294857 |    4294857 |                           narwhals._enum
import time:   2331869 |    2331869 |                           narwhals._typing_compat
import time:   1989522 |    1989522 |                           narwhals.exceptions
import time:   2516897 |   11133144 |                         narwhals._utils
import time:   2503140 |   13636284 |                       narwhals.dtypes
import time:   5676800 |    5676800 |                         narwhals._expression_parsing
import time:   1662029 |    1662029 |                           narwhals.expr_cat
import time:   1880608 |    1880608 |                           narwhals.expr_dt
import time:   1880666 |    1880666 |                           narwhals.expr_list
import time:   1880994 |    1880994 |                           narwhals.expr_name
